basic wireless mode 11bgmix;wireless;11b/g mixed mode;الوضع المختلط 11b/g ;11 b/g combiné;;;;;;;;;
basic wireless mode 11gnmix;wireless;11g/n mixed mode;الوضع المختلط 11g/n ;11 g/n combiné;;;;;;;;;
basic wireless mode 11bgnmix;wireless;11b/g/n mixed mode;الوضع المختلط 11b/g/n ;11 b/g/n combiné;;;;;;;;;
basic wireless mode 11gnmix;wireless;11g/n mixed mode;الوضع المختلط 11g/n ;11 g/n combiné;;;;;;;;;
basic wireless mode 11g;wireless;11g only;11g فقط;11 g seulement;;;;;;;;;
treeapp 11n configurations;main;11n Configurations;إعدادات 11n ;11n configurations;;;;;;;11n 設定;11n 设置;
basic wireless mode 11n;wireless;11n only;11n فقط;11 n seulement;;;;;;;;;
band 2GAll;internet;2G All;الكل 2G;Tous les réseaux 2G;;;;;;;;;
period300;internet admin;(0=disable, 300-65535) secs;ثواني (0 = تعطيل، 300-65535);(0=désactivé, 300-65535) s;;;;;;;;;（0=無効化,300～65535）秒
period3;internet admin;(0=disable, 3-65535) secs;ثواني (0 = تعطيل، 3-65535);(0=désactivé, 3-65535) s;;;;;;;;;
GUI 3gconnection;NTC-GUI TELUS-GUI;MBB Connection Status;وضع اتصال MBB;État de la connexion MBB;;;;;;;;MBB Connection 状态;
treeapp wwan;main;MBB internet settings;إعدادات الإنترنت لِ MBB ;Paramètres Internet MBB;;;;;;;MBB無線廣域網路;MBB无线广域网络;
treeapp statistics2;main;MBB network;شبكة MBB;Réseau MBB;;;;;;;;;
GUI 3gopmode;NTC-GUI TELUS-GUI;MBB Operation Mode;وضع تشغيل MBB;Mode de fonctionnement MBB;;;;;;;;MBB 运作模式;
GUI TH3gSettings;NTC-GUI TELUS-GUI;MBB settings;إعدادات MBB;Paramètres MBB;;;;;;;;MBB 设置;
GUI csq;NTC-GUI;MBB Signal Strength;قوة إشارة MBB;Intensité du signal (dBm);;;;;;;;SIM 状态;
GUI hubTitle;NTC-GUI main;MBB WiFi Router with Voice;راوتر MBB WiFi مزود بخاصية الصوت ;Routeur WiFi HSPA avec voix;;;;;;;;HSPA 语音-数据 路由器;
3ghspa; ;MBB/HSPA;MBB/HSPA;MBB/HSPA;;;;;;;;;
period60;admin internet;(0=disable, 60-65535) secs;ثواني (0 = تعطيل، 60 - 65535);(0=désactivé, 60-65535) s;;;;;;;;;（0=無効化,60～65535）秒
period30;admin internet;(0=disable, 30-65535) secs;ثواني (0 = تعطيل، 30 - 65535);(0=désactivé, 30-65535) s;;;;;;;;;
period10;admin internet;(0=disable, 10-65535) secs;ثواني (0 = تعطيل، 10 - 65535);(0=désactivé, 10-65535) s;;;;;;;;;
period2;admin internet;(0=disable, 2-65535) secs;ثواني (0 = تعطيل، 2 - 65535);(0=désactivé, 2-65535) s;;;;;;;;;
period1;admin internet;(0=disable, 1-65535) secs;ثواني (0 = تعطيل، 1 - 65535);(0=désactivé, 1-65535) s;;;;;;;;;
failover settings;admin internet;Failover Settings;الفشل إعدادات;Des paramètres de basculement;;;;;;;;;
failover period;admin internet;(3-65535) secs;ثواني (3 - 65535);(3-65535) s;;;;;;;;;
failover period2;admin internet;(2-65535) secs;ثواني (2 - 65535);(2-65535) s;;;;;;;;;
failover count;internet;(1-65535) times;مرة ( 1 - 65535);(1-65535) s;;;;;;;;;
failover count2; ;(3-65535) times;مرة ( 3 - 65535);(3-65535) s;;;;;;;;;
failover count3; ;(0=disable, 3-65535) times;مرة (0 = تعطيل، 3 - 65535);(0=désactivé, 3-65535) fois;;;;;;;;;
failover consecutive error monitor; ;Consecutive error monitor;رصد الخطأ التوالي;Écran d'erreur consécutive;;;;;;;;;
failover periodic ratio monitor; ;Periodic ratio monitor;رصد نسبة الدوري;moniteur de rapport périodique;;;;;;;;;
failover monitor randerr totalCount; ;Monitor total count;مراقبة العد الكلي لل;Surveiller nombre total;;;;;;;;;
failover monitor failCount; ;Failover fail count;الفشل تفشل العد;Basculement échouent comptage;;;;;;;;;
failover monitor succCount; ;Failback success count;عدد نجاح الإعادة بعد الفشل;Nombre de succès Failback;;;;;;;;;
failover times;admin internet;1-65535 times;مرة 1 - 65535;1-65535 s;;;;;;;;;
failover type;admin internet;Connection type;نوع الاتصال;Type connecté;;;;;;;連接型態;联机型态;
failover wwan;admin internet;MBB only;MBB فقط;MBB seulement;;;;;;;;;
failover wan;admin internet;WAN only;WAN فقط;WAN seulement;;;;;;;;;
failover wlan;admin internet;WLAN only;WLAN فقط;WLAN seulement;;;;;;;;;
failover phylink;admin internet;MBB Failover if WAN Link down;MBB التجميع إذا وصلة WAN لأسفل;Basculement MBB si liaison WAN vers le bas;;;;;;;;;
failover wlanlink;admin internet;MBB Failover if WLAN Link down;MBB التجميع إذا وصلة WLAN لأسفل;Basculement MBB si liaison WLAN vers le bas;;;;;;;;;
failover ping;admin internet;MBB Failover with WAN ping;MBB التجميع مع بينغ WAN;Basculement WAN MBB avec table de ping;;;;;;;;;
failover wlanping;admin internet;MBB Failover with WLAN ping;MBB التجميع مع بينغ WLAN;Basculement WLAN MBB avec table de ping;;;;;;;;;
failover desc wwan;admin internet;The failover feature is completely disabled and the router always uses Mobile Broadband (MBB) connection only.;معطل تماما ميزة تجاوز الفشل والموجه دائما يستخدم المحمول ذات النطاق العريض (MBB) الاتصال فقط.;La fonctionnalité de basculement est complètement désactivé et le routeur utilise toujours Mobile Broadband (MBB) seul lien.;;;;;;;;;
failover desc wan;admin internet;The failover feature is completely disabled and the router always uses WAN connection only. Mobile Broadband (MBB) connection will not be used.;معطل تماما ميزة تجاوز الفشل والموجه دائما يستخدم اتصال WAN فقط. لن MBB اتصال يمكن استخدامها.;La fonctionnalité de basculement est complètement désactivé et le routeur utilise toujours une connexion WAN seulement. Connexion MBB ne sera pas utilisé.;;;;;;;;;
failover desc wlan;admin internet;The failover feature is completely disabled and the router always uses WLAN connection only. Mobile Broadband (MBB) connection will not be used.;معطل تماما ميزة تجاوز الفشل والموجه دائما يستخدم اتصال WLAN فقط. لن MBB اتصال يمكن استخدامها.;La fonctionnalité de basculement est complètement désactivé et le routeur utilise toujours une connexion WLAN seulement. Connexion MBB ne sera pas utilisé.;;;;;;;;;
failover desc phylink;admin internet;The router uses WAN connection as a primary connection and Mobile Broadband (MBB) connection as a backup connection. When the WAN network cable is physically unplugged, the router will start using MBB connection.;جهاز التوجيه يستخدم اتصال WAN كاتصال الابتدائية واتصال MBB كاتصال احتياطية. عندما يتم موصول بدنيا كبل الشبكة WAN، وسوف تبدأ في استخدام جهاز التوجيه اتصال MBB.;Le routeur utilise la connexion WAN en tant que connexion principale et d'une connexion MBB en tant que connexion de secours. Lorsque le câble de réseau WAN est physiquement débranché, le routeur va commencer en utilisant la connexion MBB.;;;;;;;;;
failover desc ping;admin internet;The router uses WAN connection as a primary connection and Mobile Broadband (MBB) connection as a backup connection. When none of the servers is able to response ping, the router will start using MBB connection.;جهاز التوجيه يستخدم اتصال WAN كاتصال الابتدائية واتصال MBB كاتصال احتياطية. عندما لا يكون أي من الملقمات هي قادرة على بينغ ردا على ذلك، فإن جهاز التوجيه بدء استخدام MBB الصدد.;Le routeur utilise la connexion WAN en tant que connexion principale et d'une connexion MBB en tant que connexion de secours. Si aucun des serveurs est en mesure de ping réponse, le routeur va commencer en utilisant la connexion MBB.;;;;;;;;;
failover desc wlanlink;admin internet;The router uses WLAN connection as a primary connection and Mobile Broadband (MBB) connection as a backup connection. When the WLAN is down, the router will start using the MBB connection.; يستخدم جهاز التوجيه WLAN الاتصال باسم اتصال الابتدائية والمتنقلة ذات النطاق العريض (MBB) الاتصال باسم اتصال احتياطية. عندما WLAN باستمرار، وسوف يبدأ جهاز التوجيه باستخدام اتصال MBB.;Le routeur utilise la connexion WLAN en tant que connexion principale et Mobile Broadband (MBB) de connexion comme une connexion de secours. Lorsque le WLAN est en panne, le routeur va commencer à utiliser la connexion MBB.;;;;;;;;;
failover desc wlanping;admin internet;The router uses WLAN connection as a primary connection and Mobile Broadband (MBB) connection as a backup connection. When the server(s) entered below don't respond to the configured ping requests, the router will start using the MBB connection.;جهاز التوجيه يستخدم اتصاليستخدم جهاز التوجيه WLAN الاتصال باسم اتصال الابتدائية والمتنقلة ذات النطاق العريض (MBB) الاتصال باسم اتصال احتياطية. عندما الخادم (ق) دخل أقل من لا تستجيب لطلبات بينغ تكوينها، وسوف يبدأ جهاز التوجيه باستخدام اتصال MBB.;Le routeur utilise la connexion WLAN en tant que connexion principale et d'une connexion MBB en tant que connexion de secours. Si aucun des serveurs est en mesure de ping réponse, le routeur va commencer en utilisant la connexion MBB.;;;;;;;;;
failover wwan always;admin internet;MBB connection;MBB اتصال;Connexion MBB;;;;;;;;;
failover wwan alwayson;admin internet;Always on;دائما في وضع العمل;Maintien de la connexion;;;;;;;;;
failover wwan dial;admin internet;Dial when required;الطلب عند الحاجة;Composez le cas échéant;;;;;;;;;
failover wwan desc enable;admin internet;Although the router does not use Mobile Broadband (MBB) connection when WAN connection is available, MBB connection will always be online as a backup connection. This allows the router to fail over qucikly to the existing MBB connection.;على الرغم من أن جهاز التوجيه لا يستخدم اتصال MBB عندما اتصال WAN هو متاح، وسوف اتصال MBB يكون دائما على الانترنت واتصال احتياطية. وهذا يسمح جهاز التوجيه لتجاوز الفشل qucikly للاتصال MBB الحالية.;Bien que le routeur ne pas utiliser de connexion MBB lors de la connexion WAN est disponible, la connexion MBB sera toujours en ligne en tant que connexion de secours. Ceci permet au routeur de basculer qucikly à la connexion MBB existant.;;;;;;;;;
failover wwan wlandesc enable;admin internet;Although the router does not use Mobile Broadband (MBB) connection when WLAN connection is available, the MBB connection will always be online as a backup connection. This allows the router to failover quickly to the existing MBB connection.;على الرغم من أن جهاز التوجيه لا يستخدم المحمول ذات النطاق العريض (MBB) WLAN الاتصال عند الاتصال المتاحة، والاتصال MBB يكون دائما على الانترنت واتصال احتياطية. وهذا يسمح جهاز التوجيه لتجاوز الفشل بسرعة إلى الاتصال MBB القائمة.;Bien que le routeur ne pas utiliser Mobile Broadband (MBB) connexion lorsque la connexion WLAN est disponible, la connexion MBB sera toujours en ligne en tant que connexion de secours. Ceci permet au routeur de basculement rapidement à la connexion existante MBB.;;;;;;;;;
failover wwan desc disable;admin internet;The router dials Mobile Broadband (MBB) connection when the MBB connection becomes required. The router will also automatcially disconnect MBB connection if the connection becomes unnecessary.;وMBB بطلب اتصال جهاز التوجيه عند اتصال MBB يصبح المطلوب. والموجه أيضا تلقائيا قطع اتصال MBB إذا كان الاتصال يصبح غير ضروري.;La connexion MBB routeur cadrans lorsque la connexion MBB devient nécessaire. Le routeur sera également déconnecter automatiquement de connexion MBB si la connexion devient inutile.;;;;;;;;;
failover ip warning01;admin internet;Please enter an IP address or domain name;يرجى إدخال عنوان IP أو اسم المجال;S'il vous plaît entrer une adresse IP ou un nom de domaine;;;;;;;;;
addprof adhoc;wireless;802.11 Ad Hoc;802.11 Ad Hoc ;802.11 ad hoc;;;;;;;802.11對等式網路;802.11点对点;
failover wwan wlandesc disable;admin internet;The router dials Mobile Broadband (MBB) connection when the MBB connection becomes required. The router will also automatcially disconnect MBB connection if the connection becomes unnecessary.;وMBB بطلب اتصال جهاز التوجيه عند اتصال MBB يصبح المطلوب. والموجه أيضا تلقائيا قطع اتصال MBB إذا كان الاتصال يصبح غير ضروري.;La connexion MBB routeur cadrans lorsque la connexion MBB devient nécessaire. Le routeur sera également déconnecter automatiquement de connexion MBB si la connexion devient inutile.;;;;;;;;;
addprof adhoc;wireless;802.11 Ad Hoc;802.11 Ad Hoc ;;;;;;;802.11 ad hoc;802.11對等式網路;802.11点对点;
lan stp;internet;802.1d Spanning Tree; هيكل التمدد 802.1d ;802.1d Protocole STP;802.1d Spanning Tree;802.1d Spanning Tree;;;;;;;
secure 8021x wep;wireless;802.1x WEP;802.1x WEP;802.1x WEP;;;;;;;802.1x有線等效協議;802.1x有线等效保密;
mesh introduction;wireless;A Mesh network is an IEEE 802 LAN comprised of IEEE 802.11 links and control elements to forward frames among the network members.;الشبكة الحاسوبية المتداخلة عبارة عن شبكة محلية بمعيار IEEE 802 مؤلفة من روابط  المعيار IEEE 802.11 وعناصر تحكم لإعادة توجيه الإطارات بين أعضاء الشبكة.;Un réseau maillé est un réseau local IEEE 802 comprenant des liaisons IEEE 802.11 et des éléments de contrôle pour transférer des cadres parmi les membres du réseau.;;;;;;;網狀網路是由一群802.11區域網路連結和控制元件所組成, 在每個網路成員之間轉送封包.;网状网络是由一群802.11局域网连结和控制组件所组成, 在每个网络成员之间转送封包.;
about;main wireless;About;حول;À propos de;;;;;;;;;
status charging;admin;AC powered (charging);يعمل على التيار الكهربي (جاري الشحن);Alimenté par courant ca (en chargement);;AC powered (charging);;;;;;;
status charged;admin;AC powered (fully charged);يعمل على التيار الكهربي (مشحون بالكامل);Alimenté par courant ca (totalement chargé);;AC powered (fully charged);;;;;;;
port filter action accept;firewall;Accept;قبول;Accepter;;;;;;;接受;接受;許可
port basic default policy accepted;firewall;Accepted;تم القبول;Accepté;;;;;;;接受;接受;Accept
accessGenied;main;Access denied! Please Login first.;تم رفض االدخول! يرجى تسجيل الدخول أولا.;Accès refusé! Veuillez d'abord vous identifier.;;;;;;;;;
status title;admin;Access Point Status;حالة نقطة الوصول;État du point d’accès ;;;;;;;無線橋接器狀態;无线存取节点状态;
secure access policy;wireless;Access policy  ;سياسة الوصول;Accéder aux modalités d'utilisation ;;;;;;;;;
smb adddir accessusers;storage;Access User;مستخدم الوصول;d'accès utilisateur;;;;;;;訪問用戶;访问用户;
account;admin TELUS-GUI;Account;الحساب;Nom du compte;;;;;;;;;
action;firewall admin;Action;الإجراء;Action;;;;;;;;;アクション
station active;wireless;Activate;تنشيط;Activer;;;;;;;啟動;激活;有効にする
add;admin firewall internet storage wireless main;Add;إضافة;Ajouter;;;;;;;;;追加
move up;admin firewall internet storage wireless main;Up;فوق;jusqu'à;;;;;;;;;アップ
move down;admin firewall internet storage wireless main;Down;تحت;vers le bas;;;;;;;;;ダウン
content filter webs host fitler add title;firewall;Add a Host(keyword) Filter:;إضافة فلتر مضيف (الكلمة الأساسية):;Ajouter un filtre d’hôte (mot clé) :;;;;;;;目前系統的網頁主機過濾規則：;当前系统的网页主机过滤规则：;
secure access policy new;wireless;Add a MAC address to the filtering list;إضافة عنوان MAC إلى قائمة السماح/الحظر:;Ajouter une adresse MAC à la liste de filtrage:;;;;;;;新增：;新增：;
routing add rule;internet;Add a Routing Rule;إضافة قاعدة توجيه;Ajouter une règle de routage;;;;;;;新增靜態路由規則;新增静态路由规则;
content filter webs url fitler add title;firewall;Add a URL filter:;إضافة فلتر URL;Ajouter un filtre d’URL :;;;;;;;新增URL過濾規則;新增URL过滤规则;
scan add profile;wireless;Add Profile;إضافة ملف تعريف;Ajouter un profil;;;;;;;新增連結設定檔;新增联机设置档;
routing warningMsg7;internet;Add routing failed;تعذر إضافة توجيه;Ajouter erreur d’acheminement;;;;;;;;;
routing warningMsg8;internet;Add routing table;إضافة جدول توجيه;Ajouter tableau d’acheminement;;;;;;;;;
wan address mode;internet;Address Mode;وضع العنوان;Mode d’adresse;;;;;;;IP 位址模式;IP 地址模式;
administration;main storage;Administration;الإدارة;Administration;Verwaltung;;;;;;;;管理
administrationSettings; ;Administration settings;إعدادات الإدارة;Paramètres d'administration;Administrationseinstellungen;;;;;;;;管理設定
adminPasword;main;Administration Password;كلمة مرور الإدارة;Mot de passe de l'administration;;;;;;;;;
man admin setting;admin;Administrator Settings;إعدادات الإدارة;Paramètres administrateur;;;;;;;系統管理者設定;管理者设置;
treeapp advance;main;Advance;تقدم;Avance;;;;;;;進階設定;高级设置;
staadv config;wireless;Advance Configuration;ترتيبات متقدمة;Configuration avancée;;;;;;;進階設定;高阶配置;
treeapp advanced;main;Advanced;متقدم;Paramètres avancés;;;;;;;進階設定;高级设置;
treeapp routing;main;Advanced Routing;توجيه متقدم;Routage avancé;;;;;;;進階路由設定;高级路由配置;
routing title;internet;Advanced Routing Settings;إعدادات التوجيه المتقدم;Paramètres de routage avancé;;;;;;;靜態路由設定;静态路由配置;
advStatus advancedStatus;admin;Advanced status;حالة متقدمة;État avancé;;Advanced Status;;;;;;;詳細ステータス
adv wireless;wireless;Advanced wireless;لاسلكي متقدم;Paramètres avancés de la connexion sans fil (WiFi);;;;;;;進階無線;高级无线;
adv title;wireless;Advanced wireless settings;إعدادات اللاسلكي المتقدمة;Paramètres avancés de la connexion sans fil (WiFi);;;;;;;進階無限設定;高级无线设置;
AESSecure;main NTC-GUI;AES is considered a secure authentication and encryption scheme.;ال AES يعتبر نظام مصادقة وتشفير آمن.;AES est considérée comme un schéma d'authentification et de chiffrement sécurisé.;;;;;;;;;
access1;NTC-GUI;After entering the correct password, the used has full access until the unit is rebooted.;بعد إدخال كلمة السر الصحيحة، يصبح للمستخدم حق استعمال تام للشبكة إلى أن تتم إعادة تشغيل الجهاز.;Après avoir entré le bon mot de passe, l'utilisateur a un un accès complet jusqu'à ce que le système soit réinitialisé. ;;;;;;;;;
basic ht amsdu;wireless;Aggregation MSDU(A-MSDU);تجميع MSDU/A-MSDU;Aggrégation MSDU (A-MSDU);;;;;;;匯集MAC服務數據單位（A-MSDU）;聚合MAC业务数据单元（A-MSDU）;
opmode mode b intro;main;All ethernet and wireless interfaces are bridged into a single bridge interface.;تم ربط كافة واجهات شبكات الإيثرنت والشبكات اللاسلكية في واجهة واحدة مشتركة.;Toutes les interfaces Ethernet et sans fil sont pontées en une interface par pont unique.;;;;;;;所有乙太網路埠、以及無線網路介面，皆被串連到單一的橋接器介面。;所有乙太网络埠、以及无线网络界面，皆被串连到单一的桥接器界面。;
statistic all interface;admin;All interfaces;كافة الواجهات;Toutes les interfaces;;;;;;;所有的介面;所有界面;
status allstatus;admin;All Status;كافة الحالات;Tous les états;;;;;;;全部狀態;全部状态;
adv basic data rate all;wireless;All(1-2-5.5-6-11-12-24 Mbps);الكل (1-2-5.5-6-11-12-24 ميجابت لكل ثانية);Tous (1-2-5,5-6-11-12-24 Mo/s);;;;;;;完整（1-2-5.5-6-11-12-24 Mbps）;完整（1-2-5.5-6-11-12-24 Mbps）;
allow;firewall wireless;Allow;السماح;Autoriser;;;;;;;;;
smb server allowuser;storage;Allows Users;السماح للمستخدمين;permet aux utilisateurs;;;;;;;允許的用戶;允许的用户;
GUI and;NTC-GUI TELUS-GUI;and;و;et;and;;;;;;;;
and router;main;and access the router itself for configuraiton. ;والدخول على الراوتر نفسه للتهيئة.;et accéder au routeur lui-même pour la configuration. ;;;;;;;;;
and ddns Settings;main;and DDNS settings. ;وإعدادات DDNS.;et les paramètres DDNS. ;;;;;;;;;
and ddns;main;and DDNS. ;وDDNS.;et la DDNS. ;;;;;;;;;
and ptpp;main;and PPTP passthrough. ;وعبور PPTP.;et la fonction d'intercommunication PPTP. ;;;;;;;;;
and ethernet;main;and the ethernet ports are LAN ports. ;ومنافذ الإيثرنت هي منافذ شبكة محلية (LAN).;et les ports Ethernet sont des ports de réseau local. ;;;;;;;;;
and wireless;main;and the wireless ap interface and the ethernet ports are LAN ports. ;وواجهة نقطة الوصول اللاسلكية ومنافذ الإيثرنت هي منافذ LAN.;et l'interface de l'application sans fils et les ports Ethernet sont des ports de réseau local. ;;;;;;;;;
